constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,electorate,turnout,tvp,spoilt
Rathmines West A,1,justin barrett,Justin Barrett,FALSE,NP,5,running,1,13442,3058,743,739,4
Rathmines West A,1,dolores cahill,Dolores Cahill,FALSE,IND,6,running,1,13442,3058,743,739,4
Rathmines West A,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,7,running,1,13442,3058,743,739,4
Rathmines West A,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,3058,743,739,4
Rathmines West A,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,3058,743,739,4
Rathmines West B,1,ivana bacik,Ivana Bacik,FALSE,LAB,251,running,1,13442,2490,674,667,7
Rathmines West B,1,james goeghegan,James Geoghegan,FALSE,FG,125,running,1,13442,2490,674,667,7
Rathmines West B,1,lynn boylan,Lynn Boylan,FALSE,SF,93,running,1,13442,2490,674,667,7
Rathmines West B,1,claire byrne,Claire Byrne,FALSE,GP,72,running,1,13442,2490,674,667,7
Rathmines West B,1,deirdre conroy,Deirdre Conroy,FALSE,FF,19,running,1,13442,2490,674,667,7
Rathmines West B,1,mannix flynn,Mannix Flynn,FALSE,IND,22,running,1,13442,2490,674,667,7
Rathmines West B,1,sarah durcan,Sarah Durcan,FALSE,SD,21,running,1,13442,2490,674,667,7
Rathmines West B,1,brigid purcell,Brigid Purcell,FALSE,PBPS,25,running,1,13442,2490,674,667,7
Rathmines West B,1,mairead toibin,Mairéad Tóibín,FALSE,AON,9,running,1,13442,2490,674,667,7
Rathmines West B,1,peter dooley,Peter Dooley,FALSE,IND,15,running,1,13442,2490,674,667,7
Rathmines West B,1,justin barrett,Justin Barrett,FALSE,NP,4,running,1,13442,2490,674,667,7
Rathmines West B,1,dolores cahill,Dolores Cahill,FALSE,IND,6,running,1,13442,2490,674,667,7
Rathmines West B,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,1,running,1,13442,2490,674,667,7
Rathmines West B,1,john keigher,John Keigher,FALSE,IND,4,running,1,13442,2490,674,667,7
Rathmines West B,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,2490,674,667,7
Rathmines West C,1,ivana bacik,Ivana Bacik,FALSE,LAB,228,running,1,13442,1798,619,618,1
Rathmines West C,1,james goeghegan,James Geoghegan,FALSE,FG,200,running,1,13442,1798,619,618,1
