constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate,,,,,,,,,,,,,,,,,
Midlands-North-West,4,jim higgins,Jim Higgins,TRUE,FG,"45,060",eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,ronan mullen,Rónán Mullen,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,lorraine higgins,Lorraine Higgins,FALSE,LAB,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,mark dearey,Mark Dearey,FALSE,GP,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,ben gilroy,Ben Gilroy,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,mark fitzsimons,Mark Fitzsimons,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,tj fay,T.J. Fay,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,cordelia nicfhearraigh,Cordelia Níc Fhearraigh,FALSE,FS,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,Lukeming Flanagan,Luke 'Ming' Flanagan,FALSE,IND,"129,561",elected,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,matt carthy,Matt Carthy,FALSE,SF,"126,492",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,mairead mcguinness,Mairead McGuinness,TRUE,FG,"135,698",elected,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,marian harkin,Marian Harkin,TRUE,IND,"95,577",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,patthecope gallagher,"Pat ""the Cope"" Gallagher",FALSE,FF,"67,606",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,thomas byrne,Thomas Byrne,FALSE,FF,"63,392",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,jim higgins,Jim Higgins,TRUE,FG,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,ronan mullen,Rónán Mullen,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,lorraine higgins,Lorraine Higgins,FALSE,LAB,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,mark dearey,Mark Dearey,FALSE,GP,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,ben gilroy,Ben Gilroy,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,mark fitzsimons,Mark Fitzsimons,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,tj fay,T.J. Fay,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,5,cordelia nicfhearraigh,Cordelia Níc Fhearraigh,FALSE,FS,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,Lukeming Flanagan,Luke 'Ming' Flanagan,FALSE,IND,"129,561",elected,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,matt carthy,Matt Carthy,FALSE,SF,"127,135",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,mairead mcguinness,Mairead McGuinness,TRUE,FG,,elected,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,marian harkin,Marian Harkin,TRUE,IND,"99,843",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,patthecope gallagher,"Pat ""the Cope"" Gallagher",FALSE,FF,"68,440",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,thomas byrne,Thomas Byrne,FALSE,FF,"64,057",eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,jim higgins,Jim Higgins,TRUE,FG,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,ronan mullen,Rónán Mullen,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,lorraine higgins,Lorraine Higgins,FALSE,LAB,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,mark dearey,Mark Dearey,FALSE,GP,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,ben gilroy,Ben Gilroy,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,mark fitzsimons,Mark Fitzsimons,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,tj fay,T.J. Fay,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,6,cordelia nicfhearraigh,Cordelia Níc Fhearraigh,FALSE,FS,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,7,Lukeming Flanagan,Luke 'Ming' Flanagan,FALSE,IND,"129,561",elected,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,7,matt carthy,Matt Carthy,FALSE,SF,"135,046",elected,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,7,mairead mcguinness,Mairead McGuinness,TRUE,FG,,elected,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,7,marian harkin,Marian Harkin,TRUE,IND,"105,501",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,7,patthecope gallagher,"Pat ""the Cope"" Gallagher",FALSE,FF,"102,915",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,7,thomas byrne,Thomas Byrne,FALSE,FF,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,7,jim higgins,Jim Higgins,TRUE,FG,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,7,ronan mullen,Rónán Mullen,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
