,constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,tvp,spoilt,turnout,electorate
,An Uillinn,1,thomas welby,Thomas Welby,FALSE,IND,47,running,1,22607,173,0,173,300
TRUE,Árainn,1,neill bairead,Néill Bairéad,FALSE,IND,1,running,1,22607,523,0,523,1655
,Árainn,1,aj cahill,A.J. Cahill,FALSE,IPP,6,running,1,22607,523,0,523,1655
,Árainn,1,mike cubbard,Mike Cubbard,FALSE,IND,1,running,1,22607,523,0,523,1655
,Árainn,1,patrick feeney,Patrick Feeney,FALSE,IND,0,running,1,22607,523,0,523,1655
,Árainn,1,sheila garrity,Sheila Garrity,FALSE,IND,19,running,1,22607,523,0,523,1655
,Árainn,1,cillian keane,Cillian Keane,FALSE,FF,70,running,1,22607,523,0,523,1655
,Árainn,1,sean kyne,Seán Kyne,FALSE,FG,159,running,1,22607,523,0,523,1655
,Árainn,1,mark lohan,Mark Lohan,FALSE,SF,39,running,1,22607,523,0,523,1655
,Árainn,1,niall murphy,Niall Murphy,FALSE,GP,5,running,1,22607,523,0,523,1655
,Árainn,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,27,running,1,22607,523,0,523,1655
,Árainn,1,orla nugent,Orla Nugent,FALSE,AON,5,running,1,22607,523,0,523,1655
,Árainn,1,helen ogbu,Helen Ogbu,FALSE,LAB,17,running,1,22607,523,0,523,1655
,Árainn,1,john oleary,John O'Leary,FALSE,IND,0,running,1,22607,523,0,523,1655
,Árainn,1,denman rooke,Denman Rooke,FALSE,PBPS,6,running,1,22607,523,0,523,1655
,Árainn,1,michael ryan,Michael Ryan,FALSE,IND,0,running,1,22607,523,0,523,1655
,Árainn,1,noel thomas,Noel Thomas,FALSE,INDIRL,163,running,1,22607,523,0,523,1655
,Árainn,1,thomas welby,Thomas Welby,FALSE,IND,5,running,1,22607,523,0,523,1655
TRUE,Baile an Teampaill,1,neill bairead,Néill Bairéad,FALSE,IND,1,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,aj cahill,A.J. Cahill,FALSE,IPP,16,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,mike cubbard,Mike Cubbard,FALSE,IND,37,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,patrick feeney,Patrick Feeney,FALSE,IND,2,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,sheila garrity,Sheila Garrity,FALSE,IND,2,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,cillian keane,Cillian Keane,FALSE,FF,119,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,sean kyne,Seán Kyne,FALSE,FG,111,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,mark lohan,Mark Lohan,FALSE,SF,19,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,niall murphy,Niall Murphy,FALSE,GP,10,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,12,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,orla nugent,Orla Nugent,FALSE,AON,12,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,helen ogbu,Helen Ogbu,FALSE,LAB,47,running,1,22607,503,0,503,1090
