year,constituency,party,votes,seats
2024,Lisín an Bhealaigh,IND,457,
2024,Lough Atalia,FF,47,
2024,Lough Atalia,FG,79,
2024,Lough Atalia,SF,71,
2024,Lough Atalia,GP,16,
,,,,
2024,Lough Atalia,LP,25,
2024,Lough Atalia,SD,18,
2024,Lough Atalia,PBPS,6,
2024,Lough Atalia,AON,9,
2024,Lough Atalia,INDIRL,18,
2024,Lough Atalia,IPP,0,
2024,Lough Atalia,IFP,0,
2024,Lough Atalia,IND,110,
2024,Maigh Cuillin,FF,183,
2024,Maigh Cuillin,FG,658,
2024,Maigh Cuillin,SF,152,
2024,Maigh Cuillin,GP,82,
,,,,
2024,Maigh Cuillin,LP,46,
2024,Maigh Cuillin,SD,75,
2024,Maigh Cuillin,PBPS,17,
2024,Maigh Cuillin,AON,44,
2024,Maigh Cuillin,INDIRL,473,
2024,Maigh Cuillin,IPP,4,
2024,Maigh Cuillin,IFP,5,
2024,Maigh Cuillin,IND,232,
2024,Maíros,FF,25,
2024,Maíros,FG,15,
2024,Maíros,SF,8,
2024,Maíros,GP,2,
,,,,
2024,Maíros,LP,1,
2024,Maíros,SD,0,
2024,Maíros,PBPS,1,
2024,Maíros,AON,0,
2024,Maíros,INDIRL,18,
2024,Maíros,IPP,0,
2024,Maíros,IFP,4,
2024,Maíros,IND,19,
2024,Menlough,FF,160,
2024,Menlough,FG,208,
2024,Menlough,SF,171,
2024,Menlough,GP,35,
,,,,
2024,Menlough,LP,58,
2024,Menlough,SD,69,
2024,Menlough,PBPS,25,
2024,Menlough,AON,30,
2024,Menlough,INDIRL,32,
2024,Menlough,IPP,9,
2024,Menlough,IFP,4,
2024,Menlough,IND,500,
2024,Mervue,FF,97,
2024,Mervue,FG,60,
2024,Mervue,SF,173,
2024,Mervue,GP,12,
,,,,
2024,Mervue,LP,45,
2024,Mervue,SD,14,
2024,Mervue,PBPS,14,
2024,Mervue,AON,14,
2024,Mervue,INDIRL,13,
2024,Mervue,IPP,8,
2024,Mervue,IFP,9,
2024,Mervue,IND,347,
2024,Murrough,FF,75,
2024,Murrough,FG,117,
2024,Murrough,SF,84,
2024,Murrough,GP,22,
,,,,
2024,Murrough,LP,42,
2024,Murrough,SD,23,
2024,Murrough,PBPS,6,
2024,Murrough,AON,8,
2024,Murrough,INDIRL,14,
2024,Murrough,IPP,4,
2024,Murrough,IFP,1,
2024,Murrough,IND,169,
2024,Na Forbacha,FF,220,
2024,Na Forbacha,FG,143,
2024,Na Forbacha,SF,93,
2024,Na Forbacha,GP,29,
,,,,
2024,Na Forbacha,LP,40,
2024,Na Forbacha,SD,27,
2024,Na Forbacha,PBPS,7,
2024,Na Forbacha,AON,13,
2024,Na Forbacha,INDIRL,69,
2024,Na Forbacha,IPP,5,
2024,Na Forbacha,IFP,10,
2024,Na Forbacha,IND,157,
2024,Newcastle,FF,119,
2024,Newcastle,FG,52,
2024,Newcastle,SF,144,
2024,Newcastle,GP,10,
,,,,
2024,Newcastle,LP,18,
2024,Newcastle,SD,34,
2024,Newcastle,PBPS,22,
2024,Newcastle,AON,21,
2024,Newcastle,INDIRL,23,
2024,Newcastle,IPP,12,
2024,Newcastle,IFP,29,
2024,Newcastle,IND,269,
2024,Nuns Island,FF,73,
2024,Nuns Island,FG,48,
2024,Nuns Island,SF,45,
2024,Nuns Island,GP,17,
,,,,
2024,Nuns Island,LP,31,
2024,Nuns Island,SD,26,
2024,Nuns Island,PBPS,12,
2024,Nuns Island,AON,16,
2024,Nuns Island,INDIRL,0,
2024,Nuns Island,IPP,6,
2024,Nuns Island,IFP,0,
2024,Nuns Island,IND,103,
2024,Oranmore,FF,289,
2024,Oranmore,FG,776,
2024,Oranmore,SF,215,
2024,Oranmore,GP,100,
,,,,
