,constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,tvp,spoilt,turnout,electorate
,Cabra West A,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,28,running,1,11943,648,5,653,1304
,Cabra West A,1,ruth odea,Ruth O'Dea,FALSE,LAB,11,running,1,11943,648,5,653,1304
,Cabra West A,1,john oleary,John O'Leary,FALSE,IND,9,running,1,11943,648,5,653,1304
,Cabra West A,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,5,running,1,11943,648,5,653,1304
,Cabra West A,1,malachy steenson,Malachy Steenson,FALSE,IND,70,running,1,11943,648,5,653,1304
,Cabra West A,1,john stephens,John Stephens,FALSE,FF,33,running,1,11943,648,5,653,1304
TRUE,Cabra West B,1,janice boylan,Janice Boylan,FALSE,SF,407,running,1,11943,986,12,998,1993
,Cabra West B,1,tony corrigan,Tony Corrigan,FALSE,IND,4,running,1,11943,986,12,998,1993
,Cabra West B,1,daniel ennis,Daniel Ennis,FALSE,SD,98,running,1,11943,986,12,998,1993
,Cabra West B,1,colm flood,Colm Flood,FALSE,IND,1,running,1,11943,986,12,998,1993
,Cabra West B,1,mannix flynn,Mannix Flynn,FALSE,IND,4,running,1,11943,986,12,998,1993
,Cabra West B,1,janet horner,Janet Horner,FALSE,GP,35,running,1,11943,986,12,998,1993
,Cabra West B,1,gerry hutch,Gerry Hutch,FALSE,IND,172,running,1,11943,986,12,998,1993
,Cabra West B,1,ray mcadam,Ray McAdam,FALSE,FG,40,running,1,11943,986,12,998,1993
,Cabra West B,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,39,running,1,11943,986,12,998,1993
,Cabra West B,1,ruth odea,Ruth O'Dea,FALSE,LAB,17,running,1,11943,986,12,998,1993
,Cabra West B,1,john oleary,John O'Leary,FALSE,IND,1,running,1,11943,986,12,998,1993
,Cabra West B,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,23,running,1,11943,986,12,998,1993
,Cabra West B,1,malachy steenson,Malachy Steenson,FALSE,IND,117,running,1,11943,986,12,998,1993
,Cabra West B,1,john stephens,John Stephens,FALSE,FF,28,running,1,11943,986,12,998,1993
TRUE,Cabra West C,1,janice boylan,Janice Boylan,FALSE,SF,429,running,1,11943,1360,12,1372,3010
,Cabra West C,1,tony corrigan,Tony Corrigan,FALSE,IND,2,running,1,11943,1360,12,1372,3010
,Cabra West C,1,daniel ennis,Daniel Ennis,FALSE,SD,234,running,1,11943,1360,12,1372,3010
,Cabra West C,1,colm flood,Colm Flood,FALSE,IND,2,running,1,11943,1360,12,1372,3010
,Cabra West C,1,mannix flynn,Mannix Flynn,FALSE,IND,5,running,1,11943,1360,12,1372,3010
,Cabra West C,1,janet horner,Janet Horner,FALSE,GP,91,running,1,11943,1360,12,1372,3010
,Cabra West C,1,gerry hutch,Gerry Hutch,FALSE,IND,152,running,1,11943,1360,12,1372,3010
,Cabra West C,1,ray mcadam,Ray McAdam,FALSE,FG,89,running,1,11943,1360,12,1372,3010
,Cabra West C,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,99,running,1,11943,1360,12,1372,3010
,Cabra West C,1,ruth odea,Ruth O'Dea,FALSE,LAB,59,running,1,11943,1360,12,1372,3010
,Cabra West C,1,john oleary,John O'Leary,FALSE,IND,0,running,1,11943,1360,12,1372,3010
,Cabra West C,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,22,running,1,11943,1360,12,1372,3010
,Cabra West C,1,malachy steenson,Malachy Steenson,FALSE,IND,122,running,1,11943,1360,12,1372,3010
,Cabra West C,1,john stephens,John Stephens,FALSE,FF,54,running,1,11943,1360,12,1372,3010
TRUE,Cabra West D,1,janice boylan,Janice Boylan,FALSE,SF,157,running,1,11943,638,0,638,1579
,Cabra West D,1,tony corrigan,Tony Corrigan,FALSE,IND,1,running,1,11943,638,0,638,1579
,Cabra West D,1,daniel ennis,Daniel Ennis,FALSE,SD,113,running,1,11943,638,0,638,1579
,Cabra West D,1,colm flood,Colm Flood,FALSE,IND,1,running,1,11943,638,0,638,1579
,Cabra West D,1,mannix flynn,Mannix Flynn,FALSE,IND,2,running,1,11943,638,0,638,1579
,Cabra West D,1,janet horner,Janet Horner,FALSE,GP,56,running,1,11943,638,0,638,1579
,Cabra West D,1,gerry hutch,Gerry Hutch,FALSE,IND,61,running,1,11943,638,0,638,1579
,Cabra West D,1,ray mcadam,Ray McAdam,FALSE,FG,42,running,1,11943,638,0,638,1579
,Cabra West D,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,40,running,1,11943,638,0,638,1579
,Cabra West D,1,ruth odea,Ruth O'Dea,FALSE,LAB,53,running,1,11943,638,0,638,1579
,Cabra West D,1,john oleary,John O'Leary,FALSE,IND,0,running,1,11943,638,0,638,1579
,Cabra West D,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,23,running,1,11943,638,0,638,1579
,Cabra West D,1,malachy steenson,Malachy Steenson,FALSE,IND,51,running,1,11943,638,0,638,1579
,Cabra West D,1,john stephens,John Stephens,FALSE,FF,38,running,1,11943,638,0,638,1579
TRUE,Drumcondra South A,1,janice boylan,Janice Boylan,FALSE,SF,111,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,tony corrigan,Tony Corrigan,FALSE,IND,2,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,daniel ennis,Daniel Ennis,FALSE,SD,417,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,colm flood,Colm Flood,FALSE,IND,0,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,mannix flynn,Mannix Flynn,FALSE,IND,13,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,janet horner,Janet Horner,FALSE,GP,180,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,gerry hutch,Gerry Hutch,FALSE,IND,47,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,ray mcadam,Ray McAdam,FALSE,FG,187,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,70,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,ruth odea,Ruth O'Dea,FALSE,LAB,120,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,john oleary,John O'Leary,FALSE,IND,1,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,25,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,malachy steenson,Malachy Steenson,FALSE,IND,38,running,1,11943,1256,3,1259,1990
,Drumcondra South A,1,john stephens,John Stephens,FALSE,FF,45,running,1,11943,1256,3,1259,1990
TRUE,Drumcondra South B,1,janice boylan,Janice Boylan,FALSE,SF,29,running,1,11943,272,1,273,733
,Drumcondra South B,1,tony corrigan,Tony Corrigan,FALSE,IND,0,running,1,11943,272,1,273,733
,Drumcondra South B,1,daniel ennis,Daniel Ennis,FALSE,SD,67,running,1,11943,272,1,273,733
,Drumcondra South B,1,colm flood,Colm Flood,FALSE,IND,0,running,1,11943,272,1,273,733
,Drumcondra South B,1,mannix flynn,Mannix Flynn,FALSE,IND,4,running,1,11943,272,1,273,733
,Drumcondra South B,1,janet horner,Janet Horner,FALSE,GP,28,running,1,11943,272,1,273,733
,Drumcondra South B,1,gerry hutch,Gerry Hutch,FALSE,IND,19,running,1,11943,272,1,273,733
,Drumcondra South B,1,ray mcadam,Ray McAdam,FALSE,FG,34,running,1,11943,272,1,273,733
