date,commissioner,pollster,sample,moe,FF,FG,SF,SD,LAB,AON,INDIRL,GP,PBPS,REN,IA,PD,IND
16 July 2019,The Sunday Times,Behaviour and Attitudes,902,,30,26,14,1,5,,,7,2,1,4,,8
11 June 2019,The Sunday Times,Behaviour and Attitudes,900,,28,23,12,1,5,,,11,2,1,3,,13
24 May 2019,"RTÉ, TG4",Red C,"2,671",,23,26,15,3,5,,,12,2,1,2,,11
16 May 2019,The Business Post,Red C,"2,000",,24,28,13,2,5,2,,7,2,1,2,,14
14 May 2019,The Sunday Times,Behaviour and Attitudes,933,,28,28,19,1,4,,,5,3,,3,,9
8 May 2019,The Irish Times,Ipsos MRBI,"1,500",,26,29,16,,7,,,4,,,,,18
17 April 2019,The Business Post,Red C,"1,000",,23,33,14,2,5,1,,3,1,,2,,16
16 April 2019,The Sunday Times,Behaviour and Attitudes,933,,29,28,21,1,4,,,1,1,,4,,10
28 March 2019,The Business Post,Red C,"1,000",,25,31,13,3,5,1,,3,2,,3,,15
12 March 2019,The Sunday Times,Behaviour and Attitudes,930,,25,31,19,0,5,,,3,1,0,2,,12
5 March 2019,The Irish Times,Ipsos MRBI,"1,200",,24,30,21,1,6,,,2,2,,1,,13
20 February 2019,The Business Post,Red C,"1,000",,24,31,18,2,5,,,2,1,0,2,,15
12 February 2019,The Sunday Times,Behaviour and Attitudes,910,,26,30,18,1,5,,,2,2,1,2,,14
24 January 2019,The Business Post,Red C,"1,000",,22,32,13,2,6,,,3,2,0,5,,14
15 January 2019,The Sunday Times,Behaviour and Attitudes,907,,26,30,20,1,4,,,2,2,,2,,13
21 December 2018,Irish Daily Mail,Ireland Thinks,"1,546",,23,32,16,3,7,,,4,4,,,,13
18 December 2018,The Sunday Times,Behaviour and Attitudes,911,,29,31,17,2,5,,,3,2,,2,,10
13 December 2018,The Sunday Independent,Milward Brown,920,,27,32,21,2,5,,,1,1,,4,,6
22 November 2018,The Business Post,Red C,"1,000",,27,34,13,2,6,,,3,0,0,5,,10
13 November 2018,The Sunday Times,Behaviour and Attitudes,905,,27,30,23,1,6,,,1,2,,1,,9
26 October 2018,RTÉ,Red C,"3,474",,22,35,15,3,7,,,4,2,0,1,,11
17 October 2018,The Business Post,Red C,"1,000",,25,33,15,2,5,,,4,0,,4,,12
16 October 2018,The Sunday Times,Behaviour and Attitudes,940,,27,31,19,0,6,,,2,2,0,2,,9
12 October 2018,The Irish Times,Ipsos MRBI,"1,200",,25,33,24,1,4,,,2,3,,1,,6
10 October 2018,Paddy Power,Red C,"1,000",,27,32,14,1,5,,,3,2,0,3,,13
18 September 2018,The Sunday Times,Behaviour and Attitudes,940,,25,32,20,0,5,,,3,3,0,4,,8
13 September 2018,The Business Post,Red C,"1,000",,22,33,14,2,6,,,2,2,1,4,,13
24 August 2018,Irish Daily Mail,Ireland Thinks,942,,24,29,19,2,6,,,2,1,,,,17
17 July 2018,The Sunday Times,Behaviour and Attitudes,931,,21,34,22,1,3,,,2,1,0,4,,10
12 June 2018,The Sunday Times,Behaviour and Attitudes,931,,24,31,24,1,4,,,2,2,0,3,,9
16 May 2018,The Business Post,Red C,"1,000",,25,34,16,1,6,,,2,3,0,4,,9
